ID1	APPLY_P_00	APPLY_P_01	APPLY_P_02	APPLY_P_03	APPLY_P_04	APPLY_P_05	APPLY_P_06	APPLY_P_07	APPLY_P_08	APPLY_P_09	APPLY_P_10	APPLY_P_11	APPLY_P_12	APPLY_P_13	APPLY_P_14	APPLY_P_15	APPLY_P_16	APPLY_P_17	APPLY_P_18	APPLY_P_19	APPLY_U_00	APPLY_U_01	APPLY_U_02	APPLY_U_03	APPLY_U_04	APPLY_U_05	APPLY_U_06	APPLY_U_07	APPLY_U_08	APPLY_U_09	APPLY_U_10	APPLY_U_11	APPLY_U_12	APPLY_U_13	APPLY_U_14	APPLY_U_15	APPLY_U_16	APPLY_U_17	APPLY_U_18	APPLY_U_19	APPLY_D_00	APPLY_D_01	APPLY_D_02	APPLY_D_03	APPLY_D_04	APPLY_D_05	APPLY_D_06	APPLY_D_07	APPLY_D_08	APPLY_D_09	APPLY_D_10	APPLY_D_11	APPLY_D_12	APPLY_D_13	APPLY_D_14	APPLY_D_15	APPLY_D_16	APPLY_D_17	APPLY_D_18	APPLY_D_19	REGISTER_P_00	REGISTER_P_01	REGISTER_P_02	REGISTER_P_03	REGISTER_P_04	REGISTER_P_05	REGISTER_P_06	REGISTER_P_07	REGISTER_P_08	REGISTER_P_09	REGISTER_P_10	REGISTER_P_11	REGISTER_P_12	REGISTER_P_13	REGISTER_P_14	REGISTER_P_15	REGISTER_P_16	REGISTER_P_17	REGISTER_P_18	REGISTER_P_19	REGISTER_U_00	REGISTER_U_01	REGISTER_U_02	REGISTER_U_03	REGISTER_U_04	REGISTER_U_05	REGISTER_U_06	REGISTER_U_07	REGISTER_U_08	REGISTER_U_09	REGISTER_U_10	REGISTER_U_11	REGISTER_U_12	REGISTER_U_13	REGISTER_U_14	REGISTER_U_15	REGISTER_U_16	REGISTER_U_17	REGISTER_U_18	REGISTER_U_19	REGISTER_D_00	REGISTER_D_01	REGISTER_D_02	REGISTER_D_03	REGISTER_D_04	REGISTER_D_05	REGISTER_D_06	REGISTER_D_07	REGISTER_D_08	REGISTER_D_09	REGISTER_D_10	REGISTER_D_11	REGISTER_D_12	REGISTER_D_13	REGISTER_D_14	REGISTER_D_15	REGISTER_D_16	REGISTER_D_17	REGISTER_D_18	REGISTER_D_19
38	4	141	172	192	202	276	338	353	228	91	71	57	103	82	125	130	122	100	82	36				21	31	33	1	47	36	14	20	3	2										37	35	31	26	71	89	60	14	16	18	17	28	5	6	16	8	3	2				27	73	124	232	250	185	94	72	76	62	59	82	45	67	56	82	49				4	37	38	4		5	23	6	4	13	3	1									33	38	32	33	98	74	29	4	21	22	5	29	19	4	22	3	4
39								2	3	2		6	8	38	58	52	15	17	5	10												1	3																									1										1		1	2	1	2	5	9	24	17	17	5	3														2																								1		
40																																																																																																																								
41								6	11	2	13	4	3	1	6	3		3	8	1											1																															1									3	3			1	1		1	8	2	1															1																								
42																																											6	2	2		2		2			1	1																																																			6	4		2			1										
43																																																																																		2																																						
44	3	9	7	3	8	1	2	6		3	4	1		2	6	5	8	1	3	2	3	7	5		2																				3	1	1						1												4	2	3	1	1	1		1	4	1		1	1	3	3	2					1	1																				1	1	1						1						
45									1																																																																																																															
49			1	7	4	13	19	15	15	6	8	11	18	22	14	9	6	18	5	7	2	1	2	1	2												3	1			3	1	1			1							6				1		1		2		6	1		3	10	16	11	6	4	3	4	1	15	12	13	2	5	6	3	1	2	1	1	1												1			20	3	1	1			1							6				1	1	
50																																																																																																																								
51						1							5	3			1	1		1																																					1																	1	1	2				1																																						1		
52				1	3		3	1	18	14	19	17	20	14	8	6	3		1		1	1		1			5	1	1	3			1								6	3	14	8	7		4	1	3	5	3	3	4	3	2		1					1	1				3	1	1	3	5	12	17	17	13	6	7	1	1		2	3		1			2	1	1			2		1							7	2	5	11	9	7		4	1	1	5	4	2	5	3	1		1		
55		5	2	15	18	1	2	4	41	23	4	33	129	46	19	32	18	31	16	13			1																																		6	5	1				1		11	3	1	1	5		9	12	11	8	8	9	14	14	16	19				1																																		10	1	
56	4				1									1	3		1	2			4	2	2	9	5	1	4	2	2	1								2	2		18	6	17	12	9	13	9	6	6	3		2	1	1	3	2	7		1			1		1			1								1	2	1	1		1	3	1	2	6	6	4	3		3		2								2		4	11	4	21	6	12	14	5	4	4	3		2		4	3	7		1	
57	1	2		1	1		7																	1																				7																		1	1		2		1	4																1																					6															
58				1					1																																																														1																																																	
59							1	8	2	6	1	2			1	1			1		1	2																																														1	2	3	2		4	1		1		1	1			3																																						
