W5_id1	W5_id2	W5_id3	W5_id4	W5_ind1	W5_team	W5_posit	W501_01	W501_02	W502_01	W502_02	W503_01	W503_02	W504	W505_01	W505_02	W506_01	W506_02	W506_03	W506_04	W506_05	W506_06	W506_07	W506_08	W507	W508_01	W508_02	W508_03	W508_04	W508_05	W508_06	W508_07	W508_08	W508_09	W508_10	W508_11	W508_12	W508_13	W508_14	W508_15	W509_01	W509_02	W509_03	W509_04	W509_05	W509_06	W509_07	W509_08	W510_01	W510_02	W510_03	W510_04	W510_05	W510_06	W510_07	W510_08	W510_09	W511_01	W511_02	W511_03	W511_04	W511_05	W511_06	W511_07	W511_08	W511_09	W511_10	W511_11	W511_12	W511_13	W511_14	W511_15	W511_16	W511_17	W511_18	W512_01	W512_02	W513_01	W513_02	W513_03	W513_04	W513_05	W513_06	W513_07	W513_08	W513_09	W513_10	W513_11	W513_12	W513_13	W513_14	W514	W515_01	W515_02	W515_03	W515_04	W515_05	W515_06	W516_01	W516_02	W516_03	W516_04	W516_05	W516_06	W516_07	W516_08	W516_09	W516_10	W516_11	W516_12	W516_13	W516_14	W516_15	W516_16	W516_17	W516_18	W516_19	W516_20	W516_21	W516_22	W516_23	W516_24	W517_01	W517_02	W517_03	W517_04	W517_05	W517_06	W517_07	W517_08	W518	W519	W520_01	W520_02	W521	W522_01	W522_02	W522_03	W522_04	W522_05	W522_06	W522_07	W523	W524	W525	W526_01	W526_02	W526_03	W526_04	W526_05	W526_06	W527_01	W527_02	W527_03	W527_04	W527_05	W527_06	W527_07	W527_08	W528_01	W528_02	W528_03	W529_01	W529_02	W529_03	W529_04	W529_05	W529_06	W530_01	W530_02	W530_03	W530_04	W530_05	W530_06	W530_07	W530_08	W530_09	W530_10	W530_11	W530_12	W531_01	W531_02	W531_03	W531_04	W532_01	W532_02	W532_03	W532_04	W532_05	W532_06	W532_07	W533_01	W533_02	W533_03	W533_04	W534_01	W534_02	W534_03	W534_04	W534_05	W534_06	W535	W536	W537	W538_01	W538_02	W539_01	W539_02	W5_sex	W5_birthy	W5_birthm	W5_marr	W5_edu	W5_affil
295	0	403	4	1	1	3	2013	8	2013	8	1	1	402	2013	10	5	5	5	5	5	5	5	5																									2																											3	4	1	4	2		2		2		2		2		2		6	5	5	5	5	5	5	3	4	2		2		2		2		1	4	2		2		2		2		2		2		2		2		2		2		3				2								4	4	4															4	4	4	2	4	2	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	5	5	5	1	1	1											1	1	2	40	10		150	1	84	12	1	7	3
295	0	701	0	1	3	2	1988	8	1995	4	2	5				1	1	1	1	4	1	4	1																									1	503	5	0	1					2																		2	1	1	1	1	1	2		2		2		2		2		3	4	4	3	4	1	1	2	3	2		2		2		2		2		2		1	3	2		1	3	1	3	2		2		2		2		2		3	1	4	4	2								2	2	3							3	3	3	2	2	3	3	1	4	4	4	2	4	4	4	4	4	4	3	4	3	4	4	5	3	4	5	4	5	4	4	4	4	1	4	4	4	1	4	4											1		2	40	30	4200		1	52	4	2	1	
295	0	701	1	1	3	4	2004	2	2008	4	1	2				2	2	2	1	3	2	3	2																									1	402	1	4	2					1	1	1996	5	2004	2	1994	12	5	1	4			8			8	1	2	1	2		2		2		2		2		2		2		1	1	1	3	1	1	1	3	3	2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1	1	1	6	2								2	2	1															2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	3	2	2	2	3	2	3	2	4	3	2	2	4	3	2											1	2	2	40	30	4500		1	69	12	2	6	3
295	0	701	2	1	3	4	2013	2	2013	2	1	1				3	3	2	3	2	2	3	3																									1	503	10	0	2					1	1	2012	2	2013	2	2002	1	3	10	0			8			8	4	2	1	1	2	1	1	2		2		2		2		2		2	3	3	3	3	3	3	3	3	2		2		2		2		2		2		2		2		1	3	1	3	2		2		2		2		2		1	1	2	3	2								2	1	4															3	3	3	1	2	2	2	1	2	2	2	2	3	2	1	2	4	4	2	2	3	4	3	3	3	5	2	4	2	3	3	2											2	2	2	40	33		220	1	76	4	2	5	7
295	0	701	3	1	3	4	2013	7	2013	7	1	1				1	2	2	2	3	2	3	3																									1	503	6	0	2	503	2	0	2	1	2	2009	7	2013	5	2007	9	5	2	0	6	0				8	2	2	1	2		2		2		2		2		2		2		1	2	2	1	4	2	3	2	2	2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1	3	1	2	2								2	1	4															3	3	3	1	2	2	2	1	2	2	2	3	2	1	2	3	3	2	4	4	-9	3	2	4	3	5	2	1	2	1	3	1											2	1	2	40	33		210	1	76	10	2	3	
295	0	701	4	1	3	4	2013	3	2013	3	1	1				3	3	3	3	2	2	2	3																									1	299	2	0	2					2																		3	1	1	2	2		2		2		2		2		2		3	1	1	1	1	1	1	3	3	2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1	5	2	5	2								2	2	2															2	2	2	1	4	3	4	3	3	3	3	2	3	4	4	4	4	3	3	3	4	3	2	4	3	3	3	2	2	3	4	2											1	2	2	40	29		280	1	80	12	1	4	
295	0	702	0	1	3	2	2000	5	2012	11	1	8				2	2	1	3	2	3	4	3																									2																											4	6	2		2		2		2		2		2		1	1	2	1	1	5	2	3	2	1	1	2		2		2		2		2		2		2		2		2		1	2	2		2		2		2		2		1	1	1	7	2								2	2	1							1	4	4	1	2	2	2	2	1	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2	2	4	4	2	2	4	2	3	3	2	4	3	3	4	4	4											1		2	40	20	3200		1	72	7	2	6	3
295	0	702	1	1	3	4	2012	11	2012	11	1	1				3	3	3	3	2	2	3	3																									2																											3	6	2		2		2		2		2		2		2		1	2	3	3	3	3	3	2	2	2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1	1	1	3	2								2	1	2															1	1	1	1	1	2	3	2	2	2	1	1	3	3	3	4	3	4	3	3	4	3	3	3	3	4	3	2	3	3	3	3											2	2	2	40	30		200	1	82	4	1	5	1
295	0	702	2	1	3	4	2005	12	2013	4	1	8				2	2	2	1	2	1	3	2																									2																											2	3	1	1	1	1	2		2		2		2		2		3	3	2	2	2	3	2	2	2	2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1	1	1	3	2								2	1	4															3	3	3	2	2	2	3	1	2	2	2	2	2	1	2	3	3	2	2	4	4	3	2	4	3	5	2	1	2	2	4	3											1	2	2	40	30	4300		1	81	9	1	4	
295	0	702	3	1	3	4	2013	7	2013	7	1	1				3	4	3	2	4	5	4	3																									1	202	2	0	2					2																		2	1	1	2	2		2		2		2		2		2		3	2	1	4	1	4	3	4	4	2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2	1	1	2	2								2	2	3															1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	4	3	5	5	1	1	1	5	1											2	2	2	40	28		200	1	89	7	1	4	
295	0	702	4	1	3	4	2009	7	2012	5	1	2				1	1	1	1	1	1	1	1																									2																											2	6	2		2		2		2		2		2		2		1	1	1	1	1	1	1	1	1	2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1	1	1	6	2								2	1	1															1	1	1	1	3	3	3	1	1	1	1	1	1	1	1	3	3	4	4	1	1	3	1	3	3	5	3	1	1	3	5	5											1	2	2	40	30	3000		1	75	9	1	3	
295	0	703	0	1	3	2	1999	12	2000	5	1	8				1	1	1	1	3	3	1	1																									1	503	5	0	2	503	3	0	2	2																		2	1	1	1	2		2		2		2		2		2		2	1	1	4	4	4	4	1	1	2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2	2	1	4	2								2	1	2							3	2	3	2	3	3	2	1	2	1	1	2	3	2	2	1	2	3	2	3	2	2	1	2	3	3	3	2	2	3	2	2	3	4	3	2	3	3	3	3											1		2	40	20	5400		1	70	2	2	4	
295	0	703	1	1	3	4	2013	8	2013	8	1	1				3	3	3	3	3	3	3	3																									2																											5	1	2		2		2		2		2		2		2		1	4	4	4	4	4	4	3	2	2		2		2		2		2		2		1	3	2		1	2	2		2		2		2		2		2		1	3	1	2	2								2	2	4															3	3	3	3	2	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	5	3	2	2	2	2	2											2	1	1	40	35		150	1	95	1	1	4	
295	0	703	2	1	3	4	2010	2	2010	2	1	1				2	3	3	3	3	2	3	2																									1	503	3	6	2	503	2	0	2	2																		2	5	2		2		2		2		2		2		2		1	1	1	1	1	1	1	2	2	2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1	1	1	4	2								2	1	1															1	1	1	1	2	1	3	1	1	1	1	1	1	1	1	4	4	3	3	1	1	3	1	4	3	5	3	1	1	3	5	4											1	2	2	40	20	3000		1	80	10	1	3	
295	0	703	3	1	3	4	2010	10	2010	10	1	1				3	3	3	3	3	3	3	3																									1	302	12	3	2	503	2	4	2	2																		3	1	2		2		2		2		2		2		2		1	1	1	3	3	3	3	1	2	2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1	1	3	4	2								2	1	3															3	3	3	2	1	2	2	2	2	3	2	3	2	3	3	4	4	4	3	3	3	4	2	3	3	4	3	3	3	4	4	3											1	2	2	40	30	2800		1	73	1	2	4	
295	0	703	4	1	3	4	2010	3	2010	3	1	1				2	2	3	3	2	2	3	3																									2																											2	5	2		2		2		2		2		2		2		1	2	2	2	2	2	2	1	1	2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1	1	1	3	2								2	1	3															1	1	1	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	4	1	1	1	3	5	1											1	2	2	40	20	2600		1	85	1	1	5	4
